etapa,iter,est,node,prob,Submercado,nome,usina,generation,custo,custoTotal
FW,2,3,88,0.25,1,ANGRA2,4,0.0,40.0,0.0
FW,2,3,89,0.3333333,1,ANGRA1,1,300.0,10.0,3000.0
FW,2,3,89,0.3333333,1,ANGRA2,2,0.0,20.0,0.0
FW,2,3,89,0.3333333,1,ANGRA2,3,0.0,30.0,0.0
FW,2,3,89,0.3333333,1,ANGRA2,4,0.0,40.0,0.0
FW,2,3,90,0.6666666,1,ANGRA1,1,500.0,10.0,5000.0
FW,2,3,90,0.6666666,1,ANGRA2,2,95.4,20.0,1908.0
FW,2,3,90,0.6666666,1,ANGRA2,3,95.4,30.0,2862.0
FW,2,3,90,0.6666666,1,ANGRA2,4,95.4,40.0,3816.0
FW,2,3,91,0.3333333,1,ANGRA1,1,496.0,10.0,4960.0
FW,2,3,91,0.3333333,1,ANGRA2,2,0.0,20.0,0.0
FW,2,3,91,0.3333333,1,ANGRA2,3,0.0,30.0,0.0
FW,2,3,91,0.3333333,1,ANGRA2,4,0.0,40.0,0.0
FW,2,3,92,0.6666666,1,ANGRA1,1,500.0,10.0,5000.0
FW,2,3,92,0.6666666,1,ANGRA2,2,414.8,20.0,8296.0
FW,2,3,92,0.6666666,1,ANGRA2,3,414.8,30.0,12444.0
FW,2,3,92,0.6666666,1,ANGRA2,4,414.8,40.0,16592.0
FW,2,3,3,1.0,1,ANGRA1,1,300.0,10.0,3000.0
FW,2,3,3,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,2,3,3,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,2,3,3,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,2,4,93,1.0000002,1,ANGRA1,1,333.3,10.0,3333.0
FW,2,4,93,1.0000002,1,ANGRA2,2,0.0,20.0,0.0
FW,2,4,93,1.0000002,1,ANGRA2,3,0.0,30.0,0.0
FW,2,4,93,1.0000002,1,ANGRA2,4,0.0,40.0,0.0
FW,2,4,94,1.0,1,ANGRA1,1,300.0,10.0,3000.0
FW,2,4,94,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,2,4,94,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,2,4,94,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,2,4,95,0.9999998999999999,1,ANGRA1,1,300.0,10.0,3000.0
FW,2,4,95,0.9999998999999999,1,ANGRA2,2,0.0,20.0,0.0
FW,2,4,95,0.9999998999999999,1,ANGRA2,3,0.0,30.0,0.0
FW,2,4,95,0.9999998999999999,1,ANGRA2,4,0.0,40.0,0.0
FW,2,4,96,1.0000002,1,ANGRA1,1,333.3,10.0,3333.0
FW,2,4,96,1.0000002,1,ANGRA2,2,-0.0,20.0,-0.0
FW,2,4,96,1.0000002,1,ANGRA2,3,-0.0,30.0,-0.0
FW,2,4,96,1.0000002,1,ANGRA2,4,-0.0,40.0,-0.0
FW,2,4,97,0.9999998999999999,1,ANGRA1,1,333.3,10.0,3333.0
FW,2,4,97,0.9999998999999999,1,ANGRA2,2,0.0,20.0,0.0
FW,2,4,97,0.9999998999999999,1,ANGRA2,3,0.0,30.0,0.0
FW,2,4,97,0.9999998999999999,1,ANGRA2,4,0.0,40.0,0.0
FW,2,4,98,1.0000002,1,ANGRA1,1,333.3,10.0,3333.0
FW,2,4,98,1.0000002,1,ANGRA2,2,0.0,20.0,0.0
FW,2,4,98,1.0000002,1,ANGRA2,3,0.0,30.0,0.0
FW,2,4,98,1.0000002,1,ANGRA2,4,0.0,40.0,0.0
FW,2,4,4,1.0,1,ANGRA1,1,300.0,10.0,3000.0
FW,2,4,4,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,2,4,4,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,2,4,4,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,3,1,1,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,1,1,1.0,1,ANGRA2,2,166.7,20.0,3334.0
FW,3,1,1,1.0,1,ANGRA2,3,166.7,30.0,5001.0
FW,3,1,1,1.0,1,ANGRA2,4,166.7,40.0,6668.0
FW,3,2,83,0.296,1,ANGRA1,1,415.0,10.0,4150.0
FW,3,2,83,0.296,1,ANGRA2,2,0.0,20.0,0.0
FW,3,2,83,0.296,1,ANGRA2,3,0.0,30.0,0.0
FW,3,2,83,0.296,1,ANGRA2,4,0.0,40.0,0.0
FW,3,2,84,0.33299999999999996,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,2,84,0.33299999999999996,1,ANGRA2,2,155.4,20.0,3108.0
FW,3,2,84,0.33299999999999996,1,ANGRA2,3,155.4,30.0,4662.0
FW,3,2,84,0.33299999999999996,1,ANGRA2,4,155.4,40.0,6216.0
FW,3,2,85,0.33299999999999996,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,2,85,0.33299999999999996,1,ANGRA2,2,443.1,20.0,8862.0
FW,3,2,85,0.33299999999999996,1,ANGRA2,3,443.1,30.0,13293.0
FW,3,2,85,0.33299999999999996,1,ANGRA2,4,443.1,40.0,17724.0
FW,3,2,86,0.037,1,ANGRA1,1,300.0,10.0,3000.0
FW,3,2,86,0.037,1,ANGRA2,2,0.0,20.0,0.0
FW,3,2,86,0.037,1,ANGRA2,3,0.0,30.0,0.0
FW,3,2,86,0.037,1,ANGRA2,4,0.0,40.0,0.0
FW,3,3,87,0.75,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,3,87,0.75,1,ANGRA2,2,0.0,20.0,0.0
FW,3,3,87,0.75,1,ANGRA2,3,0.0,30.0,0.0
FW,3,3,87,0.75,1,ANGRA2,4,0.0,40.0,0.0
FW,3,3,88,0.25,1,ANGRA1,1,300.0,10.0,3000.0
FW,3,3,88,0.25,1,ANGRA2,2,0.0,20.0,0.0
FW,3,3,88,0.25,1,ANGRA2,3,0.0,30.0,0.0
FW,3,3,88,0.25,1,ANGRA2,4,0.0,40.0,0.0
FW,3,3,89,0.3333333,1,ANGRA1,1,433.3,10.0,4333.0
FW,3,3,89,0.3333333,1,ANGRA2,2,-0.0,20.0,-0.0
FW,3,3,89,0.3333333,1,ANGRA2,3,-0.0,30.0,-0.0
FW,3,3,89,0.3333333,1,ANGRA2,4,-0.0,40.0,-0.0
FW,3,3,90,0.6666666,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,3,90,0.6666666,1,ANGRA2,2,384.4,20.0,7688.0
FW,3,3,90,0.6666666,1,ANGRA2,3,384.4,30.0,11532.0
FW,3,3,90,0.6666666,1,ANGRA2,4,384.4,40.0,15376.0
FW,3,3,91,0.3333333,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,3,91,0.3333333,1,ANGRA2,2,0.0,20.0,0.0
FW,3,3,91,0.3333333,1,ANGRA2,3,0.0,30.0,0.0
FW,3,3,91,0.3333333,1,ANGRA2,4,0.0,40.0,0.0
FW,3,3,92,0.6666666,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,3,92,0.6666666,1,ANGRA2,2,416.1,20.0,8322.0
FW,3,3,92,0.6666666,1,ANGRA2,3,416.1,30.0,12483.0
FW,3,3,92,0.6666666,1,ANGRA2,4,416.1,40.0,16644.0
FW,3,3,3,1.0,1,ANGRA1,1,300.0,10.0,3000.0
FW,3,3,3,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,3,3,3,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,3,3,3,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,3,4,93,1.0000002,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,4,93,1.0000002,1,ANGRA2,2,0.0,20.0,0.0
FW,3,4,93,1.0000002,1,ANGRA2,3,0.0,30.0,0.0
FW,3,4,93,1.0000002,1,ANGRA2,4,0.0,40.0,0.0
FW,3,4,94,1.0,1,ANGRA1,1,300.0,10.0,3000.0
FW,3,4,94,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,3,4,94,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,3,4,94,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,3,4,95,0.9999998999999999,1,ANGRA1,1,433.3,10.0,4333.0
FW,3,4,95,0.9999998999999999,1,ANGRA2,2,-0.0,20.0,-0.0
FW,3,4,95,0.9999998999999999,1,ANGRA2,3,-0.0,30.0,-0.0
FW,3,4,95,0.9999998999999999,1,ANGRA2,4,-0.0,40.0,-0.0
FW,3,4,96,1.0000002,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,4,96,1.0000002,1,ANGRA2,2,0.0,20.0,0.0
FW,3,4,96,1.0000002,1,ANGRA2,3,0.0,30.0,0.0
FW,3,4,96,1.0000002,1,ANGRA2,4,0.0,40.0,0.0
FW,3,4,97,0.9999998999999999,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,4,97,0.9999998999999999,1,ANGRA2,2,0.0,20.0,0.0
FW,3,4,97,0.9999998999999999,1,ANGRA2,3,0.0,30.0,0.0
FW,3,4,97,0.9999998999999999,1,ANGRA2,4,0.0,40.0,0.0
FW,3,4,98,1.0000002,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,4,98,1.0000002,1,ANGRA2,2,-0.0,20.0,-0.0
FW,3,4,98,1.0000002,1,ANGRA2,3,-0.0,30.0,-0.0
FW,3,4,98,1.0000002,1,ANGRA2,4,-0.0,40.0,-0.0
FW,3,4,4,1.0,1,ANGRA1,1,300.0,10.0,3000.0
FW,3,4,4,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,3,4,4,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,3,4,4,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,4,1,1,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,1,1,1.0,1,ANGRA2,2,166.7,20.0,3334.0
FW,4,1,1,1.0,1,ANGRA2,3,166.7,30.0,5001.0
FW,4,1,1,1.0,1,ANGRA2,4,166.7,40.0,6668.0
FW,4,2,83,0.296,1,ANGRA1,1,415.0,10.0,4150.0
FW,4,2,83,0.296,1,ANGRA2,2,0.0,20.0,0.0
FW,4,2,83,0.296,1,ANGRA2,3,0.0,30.0,0.0
FW,4,2,83,0.296,1,ANGRA2,4,0.0,40.0,0.0
FW,4,2,84,0.33299999999999996,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,2,84,0.33299999999999996,1,ANGRA2,2,111.0,20.0,2220.0
FW,4,2,84,0.33299999999999996,1,ANGRA2,3,111.0,30.0,3330.0
FW,4,2,84,0.33299999999999996,1,ANGRA2,4,111.0,40.0,4440.0
FW,4,2,85,0.33299999999999996,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,2,85,0.33299999999999996,1,ANGRA2,2,443.1,20.0,8862.0
FW,4,2,85,0.33299999999999996,1,ANGRA2,3,443.1,30.0,13293.0
FW,4,2,85,0.33299999999999996,1,ANGRA2,4,443.1,40.0,17724.0
FW,4,2,86,0.037,1,ANGRA1,1,300.0,10.0,3000.0
FW,4,2,86,0.037,1,ANGRA2,2,0.0,20.0,0.0
FW,4,2,86,0.037,1,ANGRA2,3,0.0,30.0,0.0
FW,4,2,86,0.037,1,ANGRA2,4,0.0,40.0,0.0
FW,4,3,87,0.75,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,87,0.75,1,ANGRA2,2,0.0,20.0,0.0
FW,4,3,87,0.75,1,ANGRA2,3,0.0,30.0,0.0
FW,4,3,87,0.75,1,ANGRA2,4,0.0,40.0,0.0
FW,4,3,88,0.25,1,ANGRA1,1,300.0,10.0,3000.0
FW,4,3,88,0.25,1,ANGRA2,2,0.0,20.0,0.0
FW,4,3,88,0.25,1,ANGRA2,3,0.0,30.0,0.0
FW,4,3,88,0.25,1,ANGRA2,4,0.0,40.0,0.0
FW,4,3,89,0.3333333,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,89,0.3333333,1,ANGRA2,2,0.0,20.0,0.0
FW,4,3,89,0.3333333,1,ANGRA2,3,0.0,30.0,0.0
FW,4,3,89,0.3333333,1,ANGRA2,4,0.0,40.0,0.0
FW,4,3,90,0.6666666,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,90,0.6666666,1,ANGRA2,2,428.8,20.0,8576.0
FW,4,3,90,0.6666666,1,ANGRA2,3,428.8,30.0,12864.0
FW,4,3,90,0.6666666,1,ANGRA2,4,428.8,40.0,17152.0
FW,4,3,91,0.3333333,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,91,0.3333333,1,ANGRA2,2,0.0,20.0,0.0
FW,4,3,91,0.3333333,1,ANGRA2,3,0.0,30.0,0.0
FW,4,3,91,0.3333333,1,ANGRA2,4,0.0,40.0,0.0
FW,4,3,92,0.6666666,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,92,0.6666666,1,ANGRA2,2,416.1,20.0,8322.0
FW,4,3,92,0.6666666,1,ANGRA2,3,416.1,30.0,12483.0
FW,4,3,92,0.6666666,1,ANGRA2,4,416.1,40.0,16644.0
FW,4,3,3,1.0,1,ANGRA1,1,300.0,10.0,3000.0
FW,4,3,3,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,4,3,3,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,4,3,3,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,4,4,93,1.0000002,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,93,1.0000002,1,ANGRA2,2,0.0,20.0,0.0
FW,4,4,93,1.0000002,1,ANGRA2,3,0.0,30.0,0.0
FW,4,4,93,1.0000002,1,ANGRA2,4,0.0,40.0,0.0
FW,4,4,94,1.0,1,ANGRA1,1,300.0,10.0,3000.0
FW,4,4,94,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,4,4,94,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,4,4,94,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,4,4,95,0.9999998999999999,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,95,0.9999998999999999,1,ANGRA2,2,-0.0,20.0,-0.0
FW,4,4,95,0.9999998999999999,1,ANGRA2,3,-0.0,30.0,-0.0
FW,4,4,95,0.9999998999999999,1,ANGRA2,4,-0.0,40.0,-0.0
FW,4,4,96,1.0000002,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,96,1.0000002,1,ANGRA2,2,-0.0,20.0,-0.0
FW,4,4,96,1.0000002,1,ANGRA2,3,-0.0,30.0,-0.0
FW,4,4,96,1.0000002,1,ANGRA2,4,-0.0,40.0,-0.0
FW,4,4,97,0.9999998999999999,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,97,0.9999998999999999,1,ANGRA2,2,0.0,20.0,0.0
FW,4,4,97,0.9999998999999999,1,ANGRA2,3,0.0,30.0,0.0
FW,4,4,97,0.9999998999999999,1,ANGRA2,4,0.0,40.0,0.0
FW,4,4,98,1.0000002,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,98,1.0000002,1,ANGRA2,2,0.0,20.0,0.0
FW,4,4,98,1.0000002,1,ANGRA2,3,0.0,30.0,0.0
FW,4,4,98,1.0000002,1,ANGRA2,4,0.0,40.0,0.0
FW,4,4,4,1.0,1,ANGRA1,1,300.0,10.0,3000.0
FW,4,4,4,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,4,4,4,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,4,4,4,1.0,1,ANGRA2,4,0.0,40.0,0.0
