etapa,iter,est,node,prob,Submercado,nome,usina,generation,VI,AFL,TURB,VERT,VF
FW,2,2,53,0.333,1,6,6,0.0,0.0,1214.0,0.0,0.0,1214.0
FW,2,2,77,0.333,1,6,6,0.0,0.0,706.0,0.0,0.0,706.0
FW,2,3,9,0.3333333,1,6,6,1700.0,608.9999999999999,2381.0,1700.0,0.0,1290.0
FW,2,3,27,0.6666667,1,6,6,1064.0,608.9999999999999,1157.0,1064.0,0.0,702.0
FW,2,3,36,0.3333333,1,6,6,1700.0,1214.0,1884.0,1700.0,0.0,1398.0000000000002
FW,2,3,54,0.6666667,1,6,6,903.3333333333334,1214.0,704.0,903.3333333333334,0.0,1014.6666666666667
FW,2,3,63,0.3333333,1,6,6,1246.3333333333335,706.0,1588.0,1246.3333333333335,0.0,1047.6666666666665
FW,2,3,78,0.6666667,1,6,6,90.83333333333303,706.0,468.0,90.83333333333303,0.0,1083.166666666667
FW,2,4,7,0.3333333,1,6,6,1700.0,1290.0,1691.0,1700.0,0.0,1281.0
FW,2,4,10,0.6666667,1,6,6,1700.0,1290.0,1129.0,1700.0,0.0,719.0
FW,2,4,19,0.3333333,1,6,6,1590.0,702.0,888.0,1590.0,0.0,0.0
FW,2,4,25,0.3333333,1,6,6,1700.0,702.0,1280.0,1700.0,0.0,282.0
FW,2,4,28,0.3333333,1,6,6,1428.0,702.0,726.0,1428.0,0.0,0.0
FW,2,4,37,1.0,1,6,6,1700.0,1398.0000000000002,805.0,1700.0,0.0,503.0
FW,2,4,46,0.3333333,1,6,6,1578.666666666667,1014.6666666666667,564.0,1578.666666666667,-2.2737367544323206e-13,0.0
FW,2,4,52,0.3333333,1,6,6,1700.0,1014.6666666666667,963.0,1700.0,0.0,277.66666666666674
FW,2,4,55,0.3333333,1,6,6,1443.6666666666667,1014.6666666666667,429.0,1443.6666666666667,0.0,0.0
FW,2,4,64,1.0,1,6,6,1666.6666666666667,1047.6666666666665,619.0,1666.6666666666667,-2.2737367544323206e-13,0.0
FW,2,4,73,0.5,1,6,6,1469.166666666667,1083.166666666667,386.0,1469.166666666667,0.0,0.0
FW,2,4,79,0.5,1,6,6,1700.0,1083.166666666667,781.0,1700.0,0.0,164.16666666666697
FW,3,1,1,1.0,1,6,6,1000.0,1000.0,0.0,1000.0,0.0,0.0
FW,3,2,26,0.333,1,6,6,1500.0,0.0,2109.0,1500.0,0.0,609.0
FW,3,2,53,0.333,1,6,6,769.6668139866882,0.0,1214.0,769.6668139866882,0.0,444.3331860133118
FW,3,2,77,0.333,1,6,6,0.0,0.0,706.0,0.0,0.0,706.0
FW,3,3,9,0.3333333,1,6,6,1700.0,609.0,2381.0,1700.0,0.0,1290.0
FW,3,3,27,0.6666667,1,6,6,1349.1999999999998,609.0,1157.0,1349.1999999999998,0.0,416.8000000000002
FW,3,3,36,0.3333333,1,6,6,1566.6665193466451,444.3331860133118,1884.0,1566.6665193466451,0.0,761.6666666666666
FW,3,3,54,0.6666667,1,6,6,411.73318601331147,444.3331860133118,704.0,411.73318601331147,0.0,736.6000000000004
FW,3,3,63,0.3333333,1,6,6,1413.0,706.0,1588.0,1413.0,0.0,881.0
FW,3,3,78,0.6666667,1,6,6,388.3333333333328,706.0,468.0,388.3333333333328,0.0,785.6666666666672
FW,3,4,7,0.3333333,1,6,6,1700.0,1290.0,1691.0,1700.0,0.0,1281.0
FW,3,4,10,0.6666667,1,6,6,1700.0,1290.0,1129.0,1700.0,0.0,719.0
FW,3,4,19,0.3333333,1,6,6,1304.8000000000002,416.8000000000002,888.0,1304.8000000000002,0.0,0.0
FW,3,4,25,0.3333333,1,6,6,1696.8000000000002,416.8000000000002,1280.0,1696.8000000000002,0.0,0.0
FW,3,4,28,0.3333333,1,6,6,1142.8000000000002,416.8000000000002,726.0,1142.8000000000002,0.0,0.0
FW,3,4,37,1.0,1,6,6,1566.6666666666665,761.6666666666666,805.0,1566.6666666666665,0.0,0.0
FW,3,4,46,0.3333333,1,6,6,1300.6000000000004,736.6000000000004,564.0,1300.6000000000004,0.0,0.0
FW,3,4,52,0.3333333,1,6,6,1699.6000000000004,736.6000000000004,963.0,1699.6000000000004,0.0,0.0
FW,3,4,55,0.3333333,1,6,6,1165.6000000000004,736.6000000000004,429.0,1165.6000000000004,0.0,0.0
FW,3,4,64,1.0,1,6,6,1500.0,881.0,619.0,1500.0,0.0,0.0
FW,3,4,73,0.5,1,6,6,1171.6666666666672,785.6666666666672,386.0,1171.6666666666672,0.0,0.0
FW,3,4,79,0.5,1,6,6,1566.6666666666672,785.6666666666672,781.0,1566.6666666666672,0.0,0.0
FW,4,1,1,1.0,1,6,6,1000.0,1000.0,0.0,1000.0,0.0,0.0
FW,4,2,26,0.333,1,6,6,1500.0000000000002,0.0,2109.0,1500.0000000000002,-1.1368683772161603e-13,608.9999999999999
FW,4,2,53,0.333,1,6,6,903.0001611000231,0.0,1214.0,903.0001611000231,0.0,310.9998388999769
FW,4,2,77,0.333,1,6,6,0.0,0.0,706.0,0.0,0.0,706.0
FW,4,3,9,0.3333333,1,6,6,1700.0,608.9999999999999,2381.0,1700.0,0.0,1290.0
FW,4,3,27,0.6666667,1,6,6,1500.0,608.9999999999999,1157.0,1500.0,0.0,266.0
FW,4,3,36,0.3333333,1,6,6,1499.9998388999775,310.9998388999769,1884.0,1499.9998388999775,0.0,694.9999999999999
FW,4,3,54,0.6666667,1,6,6,477.9998388999767,310.9998388999769,704.0,477.9998388999767,0.0,537.0000000000003
FW,4,3,63,0.3333333,1,6,6,1413.0,706.0,1588.0,1413.0,0.0,881.0
FW,4,3,78,0.6666667,1,6,6,454.9999999999994,706.0,468.0,454.9999999999994,0.0,719.0000000000005
FW,4,4,7,0.3333333,1,6,6,1700.0,1290.0,1691.0,1700.0,0.0,1281.0
FW,4,4,10,0.6666667,1,6,6,1700.0,1290.0,1129.0,1700.0,0.0,719.0
FW,4,4,19,0.3333333,1,6,6,1154.0,266.0,888.0,1154.0,0.0,0.0
FW,4,4,25,0.3333333,1,6,6,1546.0000000000002,266.0,1280.0,1546.0000000000002,-2.2737367544323206e-13,0.0
FW,4,4,28,0.3333333,1,6,6,992.0,266.0,726.0,992.0,0.0,0.0
FW,4,4,37,1.0,1,6,6,1500.0,694.9999999999999,805.0,1500.0,0.0,0.0
FW,4,4,46,0.3333333,1,6,6,1101.0000000000005,537.0000000000003,564.0,1101.0000000000005,0.0,0.0
FW,4,4,52,0.3333333,1,6,6,1500.0000000000005,537.0000000000003,963.0,1500.0000000000005,0.0,0.0
FW,4,4,55,0.3333333,1,6,6,966.0000000000003,537.0000000000003,429.0,966.0000000000003,0.0,0.0
FW,4,4,64,1.0,1,6,6,1500.0,881.0,619.0,1500.0,0.0,0.0
FW,4,4,73,0.5,1,6,6,1105.0000000000005,719.0000000000005,386.0,1105.0000000000005,0.0,0.0
FW,4,4,79,0.5,1,6,6,1500.0000000000005,719.0000000000005,781.0,1500.0000000000005,0.0,0.0
