etapa,iter,est,node,prob,Submercado,nome,usina,generation,VI,AFL,TURB,VERT,VF
FW,1,4,16,1.0,1,6,6,1700.0,362.0,1447.0,1700.0,0.0,109.0
FW,1,4,19,1.0,1,6,6,1250.0,362.0,888.0,1250.0,0.0,0.0
FW,1,4,22,1.0,1,6,6,957.0,0.0,957.0,957.0,0.0,0.0
FW,1,4,25,1.0,1,6,6,1280.0,0.0,1280.0,1280.0,0.0,0.0
FW,2,1,1,1.0,1,6,6,1000.0,1000.0,0.0,1000.0,0.0,0.0
FW,2,2,2,0.125,1,6,6,1700.0,0.0,2109.0,1700.0,0.0,409.0
FW,2,2,5,0.125,1,6,6,1700.0,0.0,2109.0,1700.0,0.0,409.0
FW,2,2,8,0.125,1,6,6,1700.0,0.0,2109.0,1700.0,0.0,409.0
FW,2,2,11,0.125,1,6,6,1500.0,0.0,2109.0,1500.0,0.0,608.9999999999999
FW,2,2,14,0.125,1,6,6,1700.0,0.0,2109.0,1700.0,0.0,409.0
FW,2,2,17,0.125,1,6,6,1316.6666666666667,0.0,2109.0,1316.6666666666667,0.0,792.3333333333333
FW,2,2,20,0.125,1,6,6,889.6666666666667,0.0,2109.0,889.6666666666667,0.0,1219.3333333333333
FW,2,2,23,0.125,1,6,6,1212.666666666667,0.0,2109.0,1212.666666666667,0.0,896.3333333333333
FW,2,3,3,1.0,1,6,6,1700.0,409.0,2381.0,1700.0,0.0,1090.0
FW,2,3,6,1.0,1,6,6,1700.0,409.0,2381.0,1700.0,0.0,1090.0
FW,2,3,9,1.0,1,6,6,1700.0,409.0,2381.0,1700.0,0.0,1090.0
FW,2,3,12,1.0,1,6,6,1700.0,608.9999999999999,1653.0,1700.0,0.0,562.0000000000001
FW,2,3,15,1.0,1,6,6,1700.0,409.0,1653.0,1700.0,0.0,362.0
FW,2,3,18,1.0,1,6,6,1666.6666666666667,792.3333333333333,1653.0,1666.6666666666667,0.0,778.6666666666666
FW,2,3,21,1.0,1,6,6,1666.6666666666667,1219.3333333333333,1157.0,1666.6666666666667,0.0,709.6666666666666
FW,2,3,24,1.0,1,6,6,1666.6666666666667,896.3333333333333,1157.0,1666.6666666666667,0.0,386.66666666666663
FW,2,4,4,1.0,1,6,6,1700.0,1090.0,1378.0,1700.0,0.0,768.0
FW,2,4,7,1.0,1,6,6,1700.0,1090.0,1691.0,1700.0,0.0,1081.0
FW,2,4,10,1.0,1,6,6,1700.0,1090.0,1129.0,1700.0,0.0,519.0
FW,2,4,13,1.0,1,6,6,1690.0000000000002,562.0000000000001,1128.0,1690.0000000000002,-2.2737367544323206e-13,0.0
FW,2,4,16,1.0,1,6,6,1700.0,362.0,1447.0,1700.0,0.0,109.0
FW,2,4,19,1.0,1,6,6,1666.6666666666667,778.6666666666666,888.0,1666.6666666666667,-2.2737367544323206e-13,0.0
FW,2,4,22,1.0,1,6,6,1666.6666666666667,709.6666666666666,957.0,1666.6666666666667,-2.2737367544323206e-13,0.0
FW,2,4,25,1.0,1,6,6,1666.6666666666667,386.66666666666663,1280.0,1666.6666666666667,-2.2737367544323206e-13,0.0
FW,3,1,1,1.0,1,6,6,1000.0,1000.0,0.0,1000.0,0.0,-1.8189894035458565e-14
FW,3,2,2,0.125,1,6,6,1700.0,-1.8189894035458565e-14,2109.0,1700.0,0.0,409.0
FW,3,2,5,0.125,1,6,6,1700.0,-1.8189894035458565e-14,2109.0,1700.0,0.0,409.0
FW,3,2,8,0.125,1,6,6,1700.0,-1.8189894035458565e-14,2109.0,1700.0,0.0,409.0
FW,3,2,11,0.125,1,6,6,1500.0,-1.8189894035458565e-14,2109.0,1500.0,0.0,608.9999999999999
FW,3,2,14,0.125,1,6,6,1700.0,-1.8189894035458565e-14,2109.0,1700.0,0.0,409.0
FW,3,2,17,0.125,1,6,6,1500.0,-1.8189894035458565e-14,2109.0,1500.0,0.0,608.9999999999999
FW,3,2,20,0.125,1,6,6,1222.9999999999995,-1.8189894035458565e-14,2109.0,1222.9999999999995,0.0,886.0000000000003
FW,3,2,23,0.125,1,6,6,1500.0,-1.8189894035458565e-14,2109.0,1500.0,0.0,609.0000000000002
FW,3,3,3,1.0,1,6,6,1700.0,409.0,2381.0,1700.0,0.0,1090.0
FW,3,3,6,1.0,1,6,6,1700.0,409.0,2381.0,1700.0,0.0,1090.0
FW,3,3,9,1.0,1,6,6,1700.0,409.0,2381.0,1700.0,0.0,1090.0
FW,3,3,12,1.0,1,6,6,1500.0,608.9999999999999,1653.0,1500.0,0.0,762.0000000000001
FW,3,3,15,1.0,1,6,6,1700.0,409.0,1653.0,1700.0,0.0,362.0
FW,3,3,18,1.0,1,6,6,1500.0,608.9999999999999,1653.0,1500.0,0.0,762.0
FW,3,3,21,1.0,1,6,6,1500.0000000000005,886.0000000000003,1157.0,1500.0000000000005,0.0,543.0000000000002
FW,3,3,24,1.0,1,6,6,1500.0000000000002,609.0000000000002,1157.0,1500.0000000000002,0.0,266.0
FW,3,4,4,1.0,1,6,6,1700.0,1090.0,1378.0,1700.0,0.0,768.0
FW,3,4,7,1.0,1,6,6,1700.0,1090.0,1691.0,1700.0,0.0,1081.0
FW,3,4,10,1.0,1,6,6,1700.0,1090.0,1129.0,1700.0,0.0,519.0
FW,3,4,13,1.0,1,6,6,1700.0,762.0000000000001,1128.0,1700.0,0.0,190.0
FW,3,4,16,1.0,1,6,6,1700.0,362.0,1447.0,1700.0,0.0,109.0
FW,3,4,19,1.0,1,6,6,1650.0,762.0,888.0,1650.0,0.0,0.0
FW,3,4,22,1.0,1,6,6,1500.0000000000002,543.0000000000002,957.0,1500.0000000000002,0.0,0.0
FW,3,4,25,1.0,1,6,6,1546.0000000000002,266.0,1280.0,1546.0000000000002,-2.2737367544323206e-13,0.0
FW,4,1,1,1.0,1,6,6,1000.0,1000.0,0.0,1000.0,0.0,-1.8189894035458565e-14
FW,4,2,2,0.125,1,6,6,1700.0,-1.8189894035458565e-14,2109.0,1700.0,0.0,409.0
FW,4,2,5,0.125,1,6,6,1700.0,-1.8189894035458565e-14,2109.0,1700.0,0.0,409.0
FW,4,2,8,0.125,1,6,6,1700.0,-1.8189894035458565e-14,2109.0,1700.0,0.0,409.0
FW,4,2,11,0.125,1,6,6,1500.0,-1.8189894035458565e-14,2109.0,1500.0,2.2737367544323206e-13,608.9999999999998
FW,4,2,14,0.125,1,6,6,1700.0,-1.8189894035458565e-14,2109.0,1700.0,0.0,409.0
FW,4,2,17,0.125,1,6,6,1500.0000000000002,-1.8189894035458565e-14,2109.0,1500.0000000000002,0.0,608.9999999999998
FW,4,2,20,0.125,1,6,6,1222.9999999999995,-1.8189894035458565e-14,2109.0,1222.9999999999995,0.0,886.0000000000003
FW,4,2,23,0.125,1,6,6,1500.0,-1.8189894035458565e-14,2109.0,1500.0,-1.1368683772161603e-13,609.0000000000001
FW,4,3,3,1.0,1,6,6,1700.0,409.0,2381.0,1700.0,0.0,1090.0
FW,4,3,6,1.0,1,6,6,1700.0,409.0,2381.0,1700.0,0.0,1090.0
FW,4,3,9,1.0,1,6,6,1700.0,409.0,2381.0,1700.0,0.0,1090.0
FW,4,3,12,1.0,1,6,6,1690.0000000000005,608.9999999999998,1653.0,1690.0000000000005,0.0,571.9999999999995
FW,4,3,15,1.0,1,6,6,1700.0,409.0,1653.0,1700.0,0.0,362.0
FW,4,3,18,1.0,1,6,6,1500.0,608.9999999999998,1653.0,1500.0,0.0,762.0
FW,4,3,21,1.0,1,6,6,1500.0000000000005,886.0000000000003,1157.0,1500.0000000000005,0.0,543.0000000000002
FW,4,3,24,1.0,1,6,6,1500.0000000000002,609.0000000000001,1157.0,1500.0000000000002,-2.2737367544323206e-13,266.0
FW,4,4,4,1.0,1,6,6,1700.0,1090.0,1378.0,1700.0,0.0,768.0
FW,4,4,7,1.0,1,6,6,1700.0,1090.0,1691.0,1700.0,0.0,1081.0
FW,4,4,10,1.0,1,6,6,1700.0,1090.0,1129.0,1700.0,0.0,519.0
FW,4,4,13,1.0,1,6,6,1699.9999999999995,571.9999999999995,1128.0,1699.9999999999995,0.0,0.0
FW,4,4,16,1.0,1,6,6,1700.0,362.0,1447.0,1700.0,0.0,109.0
FW,4,4,19,1.0,1,6,6,1650.0,762.0,888.0,1650.0,0.0,0.0
FW,4,4,22,1.0,1,6,6,1500.0000000000002,543.0000000000002,957.0,1500.0000000000002,0.0,0.0
FW,4,4,25,1.0,1,6,6,1546.0000000000002,266.0,1280.0,1546.0000000000002,-2.2737367544323206e-13,0.0
