etapa,iter,est,node,Demanda,GT,GH,Deficit,CustoPresente,CustoFuturo
FORWARD,2,5,15,100.0,50.0,50.0,0.0,250.0,0.0
FORWARD,2,5,16,100.0,50.0,50.0,0.0,250.0,0.0
FORWARD,2,5,20,100.0,50.0,50.0,0.0,250.0,0.0
FORWARD,2,5,21,100.0,50.0,50.0,0.0,250.0,0.0
FORWARD,2,5,23,100.0,50.0,50.0,0.0,250.0,0.0
FORWARD,2,5,24,100.0,50.0,50.0,0.0,250.0,0.0
FORWARD,2,5,27,100.0,50.0,50.0,0.0,250.0,0.0
FORWARD,2,5,28,100.0,50.0,50.0,0.0,250.0,0.0
FORWARD,2,5,30,100.0,50.0,50.0,0.0,250.0,0.0
FORWARD,2,5,31,100.0,50.0,50.0,0.0,250.0,0.0
FORWARD,3,1,1,100.0,100.0,0.0,0.0,750.0,2480.0
FORWARD,3,2,2,100.0,100.0,0.0,0.0,750.0,1730.0
FORWARD,3,2,17,100.0,100.0,0.0,0.0,750.0,1730.0
FORWARD,3,3,3,100.0,100.0,0.0,0.0,750.0,980.0
FORWARD,3,3,10,100.0,100.0,0.0,0.0,750.0,980.0
FORWARD,3,3,18,100.0,100.0,0.0,0.0,750.0,980.0
FORWARD,3,3,25,100.0,100.0,0.0,0.0,750.0,980.0
FORWARD,3,4,4,200.0,98.0,102.0,0.0,730.0,250.0
FORWARD,3,4,7,200.0,98.0,102.0,0.0,730.0,250.0
FORWARD,3,4,11,200.0,98.0,102.0,0.0,730.0,250.0
FORWARD,3,4,14,200.0,98.0,102.0,0.0,730.0,250.0
FORWARD,3,4,19,200.0,98.0,102.0,0.0,730.0,250.0
FORWARD,3,4,22,200.0,98.0,102.0,0.0,730.0,250.0
FORWARD,3,4,26,200.0,98.0,102.0,0.0,730.0,250.0
FORWARD,3,4,29,200.0,98.0,102.0,0.0,730.0,250.0
FORWARD,3,5,5,100.0,50.0,50.0,0.0,250.0,0.0
FORWARD,3,5,6,100.0,50.0,50.0,0.0,250.0,0.0
FORWARD,3,5,8,100.0,50.0,50.0,0.0,250.0,0.0
FORWARD,3,5,9,100.0,50.0,50.0,0.0,250.0,0.0
FORWARD,3,5,12,100.0,50.0,50.0,0.0,250.0,0.0
FORWARD,3,5,13,100.0,50.0,50.0,0.0,250.0,0.0
FORWARD,3,5,15,100.0,50.0,50.0,0.0,250.0,0.0
FORWARD,3,5,16,100.0,50.0,50.0,0.0,250.0,0.0
FORWARD,3,5,20,100.0,50.0,50.0,0.0,250.0,0.0
FORWARD,3,5,21,100.0,50.0,50.0,0.0,250.0,0.0
FORWARD,3,5,23,100.0,50.0,50.0,0.0,250.0,0.0
FORWARD,3,5,24,100.0,50.0,50.0,0.0,250.0,0.0
FORWARD,3,5,27,100.0,50.0,50.0,0.0,250.0,0.0
FORWARD,3,5,28,100.0,50.0,50.0,0.0,250.0,0.0
FORWARD,3,5,30,100.0,50.0,50.0,0.0,250.0,0.0
FORWARD,3,5,31,100.0,50.0,50.0,0.0,250.0,0.0
